customer_id,spend_90_day,predicted_spend_90_day,spend_90_day_binary,pred_spend_90_day_prob
11460,0.0,0.421326,0,0.022312181
2073,0.0,0.32607284,0,0.02204748
17247,0.0,4.557258,0,0.12599646
2220,0.0,16.944016,0,0.3646607
17651,0.0,0.77395064,0,0.031288974
23414,0.0,5.9100633,0,0.14978962
21916,127.6,31.388687,1,0.34085405
20620,0.0,0.48570114,0,0.0230861
6801,0.0,0.32607284,0,0.01964556
231,0.0,0.32607284,0,0.018016407
13022,0.0,0.5809543,0,0.027687093
20940,0.0,0.48570114,0,0.0230861
1247,0.0,7.066283,0,0.15382046
12722,0.0,2.581194,0,0.049392235
3128,0.0,5.4511876,0,0.12733664
12576,0.0,3.5863936,0,0.14595154
5645,0.0,0.32607284,0,0.01964556
199,0.0,3.8742654,0,0.124677956
5496,0.0,0.421326,0,0.02215403
7926,95.05,48.011253,1,0.67231476
21463,0.0,2.4621496,0,0.05076175
7127,0.0,0.9301518,0,0.032870647
945,0.0,0.32607284,0,0.01662288
22715,0.0,2.0133228,0,0.13197407
17946,0.0,0.5809543,0,0.025846593
4426,0.0,8.893074,0,0.20735583
8110,0.0,0.421326,0,0.02215403
17029,0.0,1.0897801,0,0.054858804
2684,0.0,0.421326,0,0.023347925
7587,0.0,0.32607284,0,0.01964556
12890,19.78,0.83489823,1,0.033231694
17281,0.0,0.48570114,0,0.022716068
7829,0.0,2.1790986,0,0.046966415
21530,0.0,0.48570114,0,0.0230861
6247,0.0,0.61432236,0,0.024527097
13129,0.0,0.77395064,0,0.03350369
11725,26.37,0.61432236,1,0.11488761
18895,0.0,8.3346815,0,0.4368539
16822,0.0,49.73651,0,0.6790109
10668,0.0,0.421326,0,0.023950335
1026,0.0,3.2799606,0,0.061924815
6240,0.0,0.61432236,0,0.024969382
8500,0.0,0.32607284,0,0.01964556
15034,0.0,0.77395064,0,0.05832071
21656,0.0,0.48570114,0,0.0230861
15452,59.46,6.3181505,1,0.2885725
7930,0.0,0.78393644,0,0.03108674
10491,0.0,0.421326,0,0.109630436
22474,66.45,14.706399,1,0.45628688
15497,0.0,6.76212,0,0.1449277
16919,77.96,32.113678,1,0.30072635
18746,0.0,0.77395064,0,0.031794105
10901,22.38,12.385172,1,0.5209339
10713,11.49,6.293393,1,0.39559597
7952,0.0,3.4902468,0,0.1850138
12516,48.85,40.611996,1,0.5302525
15527,0.0,0.21349254,0,0.02776405
4476,0.0,3.8742654,0,0.20980865
8668,0.0,1.1522243,0,0.036644015
9671,0.0,0.32607284,0,0.020829163
8867,0.0,0.32607284,0,0.01964556
21427,0.0,0.5809543,0,0.027661676
14667,0.0,0.52999246,0,0.02968517
17414,0.0,3.3297517,0,0.061949395
3948,0.0,0.32607284,0,0.02204748
2711,0.0,8.042307,0,0.19741732
18025,19.98,11.311771,1,0.4807462
10972,0.0,0.421326,0,0.09115952
21442,0.0,1.5525581,0,0.05992115
